Date,Open,High,Low,Close,Volume
19/10/2022,10689.31,10808.04,10592.88,10680.51,4955.09
18/10/2022,10963.99,10972.97,10670.12,10772.4,5047.36
17/10/2022,10575.65,10696.59,10569.69,10675.8,4439.19
14/10/2022,10742.81,10766.69,10308.81,10321.39,4393
13/10/2022,10131.82,10697.71,10088.83,10649.15,5300.08
12/10/2022,10437,10494.53,10372.21,10417.1,4091.03
11/10/2022,10484.37,10608.84,10351.98,10426.19,4738.84
10/10/2022,10659.95,10669.93,10449.04,10542.1,3989.64
07/10/2022,10877.28,10891.93,10608.52,10652.4,4634.19
06/10/2022,11129.04,11230.44,11051.27,11073.31,4423.32
05/10/2022,11022.67,11210.32,10910.76,11148.64,4091.86
04/10/2022,11054.72,11189.96,11044.04,11176.41,5004.78
03/10/2022,10659.01,10875.46,10577.89,10815.43,4415.44
30/09/2022,10697.71,10883.04,10572.33,10575.62,4649.71
29/09/2022,10894.44,10899.47,10623.22,10737.51,4516.63
28/09/2022,10817.52,11101.5,10776.34,11051.64,4556.1
27/09/2022,10955.29,11040.98,10741.02,10829.5,4445.05
26/09/2022,10833.38,11024,10789.05,10802.92,4697.73
23/09/2022,10952.69,10958.29,10732.72,10867.93,5134.35
22/09/2022,11167.38,11203.77,11024.64,11066.81,4916.47
21/09/2022,11466.21,11613.57,11218.99,11220.19,4471
20/09/2022,11440.14,11520.99,11343.72,11425.05,4028.1
19/09/2022,11338.57,11538.13,11337.83,11535.02,4168.67
16/09/2022,11401.21,11460.43,11316.92,11448.4,7451.84
15/09/2022,11633.24,11760.73,11497.11,11552.36,4805.91
14/09/2022,11680.41,11746.83,11602.76,11719.68,4861.53
13/09/2022,11908.81,11957.97,11604.43,11633.57,5188.38
12/09/2022,12174.94,12270.19,12169.28,12266.41,4146.68
09/09/2022,11958.61,12132.67,11958.61,12112.31,4401.59
08/09/2022,11679.86,11896.73,11660.53,11862.13,4329.91
07/09/2022,11559.38,11819.07,11555.08,11791.9,4445.64
06/09/2022,11643.03,11679.43,11471.5,11544.91,4622.94
02/09/2022,11899.14,11945.91,11573.51,11630.86,4257.41
01/09/2022,11707.44,11798.37,11546.52,11785.13,4792.89
31/08/2022,11972.56,12027.43,11814.17,11816.2,4952.01
30/08/2022,12093.06,12101.85,11790.02,11883.14,4681.52
29/08/2022,12021.05,12124.87,11981.42,12017.67,4209.85
26/08/2022,12630.58,12655.84,12141.52,12141.71,4530
25/08/2022,12506.37,12641.26,12471.98,12639.27,4323.47
24/08/2022,12375.15,12504.33,12350.16,12431.53,3917.17
23/08/2022,12380.37,12490.85,12352.03,12381.3,3836.18
22/08/2022,12523.16,12538.55,12353.73,12381.57,4270.98
19/08/2022,12832.27,12859.01,12674.87,12705.22,4628.17
18/08/2022,12937.79,13002.66,12873.49,12965.34,4724.35
17/08/2022,12968.63,13053.51,12863.01,12938.12,5229.52
16/08/2022,13082.64,13181.09,12979.24,13102.55,5028.41
15/08/2022,12996.63,13146.06,12993.78,13128.05,4476.04
12/08/2022,12866.31,13047.19,12821.22,13047.19,4782.61
11/08/2022,12944.82,13026.24,12760.09,12779.91,5815.96
10/08/2022,12793.44,12861.44,12698.61,12854.8,5196.21
09/08/2022,12557.49,12582.91,12438.86,12493.93,5307.34
08/08/2022,12703.72,12855.15,12597.75,12644.46,5238.6
05/08/2022,12538.8,12720.44,12525.77,12657.55,4911.3
04/08/2022,12675.04,12736.19,12600.78,12720.58,5451.47
03/08/2022,12433.87,12699.64,12425.21,12668.16,5667.99
02/08/2022,12287.67,12503.34,12260.48,12348.76,4792.14
01/08/2022,12317.96,12499.72,12271.98,12368.98,4396.39
29/07/2022,12239.69,12426.26,12181.13,12390.69,4907.41
28/07/2022,12036.48,12179.09,11886.67,12162.59,4924.95
27/07/2022,11756.19,12081.73,11718.38,12032.42,4588.48
26/07/2022,11701.53,11711.31,11533.37,11562.57,4349.76
25/07/2022,11837.96,11855.11,11707.53,11782.67,4346.52
22/07/2022,12025.37,12093.02,11767.19,11834.11,4721.88
21/07/2022,11914.15,12060.59,11812.72,12059.61,4680.93
20/07/2022,11726.09,11939.96,11703.36,11897.65,5467.08
19/07/2022,11515,11721.22,11448.97,11713.15,5302.74
18/07/2022,11561.64,11629.03,11322.84,11360.05,5057.92
15/07/2022,11379.36,11454.69,11295.33,11452.42,4369.06
14/07/2022,11151.21,11279.97,11005.93,11251.19,4481.07
13/07/2022,11056.55,11325.67,11031.27,11247.58,4433.06
12/07/2022,11420.89,11483.17,11207.08,11264.73,4317.86
11/07/2022,11524.49,11541.1,11348.06,11372.6,4362.91
08/07/2022,11503.61,11689.7,11479.77,11635.31,4526.57
07/07/2022,11422.6,11644.47,11412.88,11621.35,4685.05
06/07/2022,11337.9,11443.15,11250.32,11361.85,4851.17
05/07/2022,10964.18,11323.89,10911.45,11322.24,5053.57
01/07/2022,11006.83,11132.55,10922.71,11127.85,4865.73
30/06/2022,11048.25,11160.92,10850.01,11028.74,5654.52
29/06/2022,11160.22,11226.33,11072.19,11177.89,5650.86
28/06/2022,11542.24,11635.85,11177.68,11181.54,5433.22
27/06/2022,11661.02,11677.49,11487.07,11524.55,5047.86
24/06/2022,11351.31,11613.23,11337.78,11607.62,9468.13
23/06/2022,11137.68,11260.27,11046.28,11232.19,5258.2
22/06/2022,10941.95,11216.77,10938.06,11053.08,5238.18
21/06/2022,10974.05,11164.99,10974.05,11069.3,5226.26
17/06/2022,10697.55,10884.71,10638.72,10798.35,7452.83
16/06/2022,10806.02,10831.07,10565.14,10646.1,5696.63
15/06/2022,10968.4,11244.26,10866.39,11099.15,5368.5
14/06/2022,10897.43,10926.81,10733.04,10828.35,4819.89
13/06/2022,10986.85,11071.48,10775.14,10809.23,5937.32
10/06/2022,11543.88,11569.15,11328.27,11340.02,5152.02
09/06/2022,12016.47,12115.06,11751.98,11754.23,5408.46
08/06/2022,12147.28,12235.78,12052.7,12086.27,4708.98
07/06/2022,11925.81,12194.86,11888.61,12175.23,4411.24
06/06/2022,12200.33,12245.4,12004.2,12061.37,4647.01
03/06/2022,12097.12,12167.44,11966.62,12012.73,4130.04
02/06/2022,11945.57,12320.12,11901.45,12316.9,4445.84
01/06/2022,12176.89,12237.94,11901.43,11994.46,4719.9
31/05/2022,12137.54,12190.08,11942.5,12081.39,6045.5
27/05/2022,11869.69,12131.66,11856.82,12131.13,4793.9
26/05/2022,11409.84,11796.97,11406.16,11740.65,4672.62
25/05/2022,11225.03,11511.9,11211.85,11434.74,4519.69
24/05/2022,11326.44,11351.61,11092.48,11264.45,4724.43
23/05/2022,11396.28,11552.07,11304.56,11535.27,4552.2
20/05/2022,11542.67,11552.21,11035.69,11354.62,5434.37
19/05/2022,11364.4,11562.82,11313.31,11388.5,5154.41
18/05/2022,11790.68,11826.22,11381.69,11418.15,5064.12
17/05/2022,11905.57,11988.43,11754.28,11984.52,5093.96
16/05/2022,11727.14,11804.59,11627.53,11662.79,4930.25
13/05/2022,11555.97,11856.71,11510.26,11805,5894.02
12/05/2022,11199.25,11547.33,11108.76,11370.96,6679.47
11/05/2022,11645.57,11844.51,11339.18,11364.24,6152.37
10/05/2022,11900.34,11944.94,11566.28,11737.67,6218.26
09/05/2022,11923.03,11990.61,11574.94,11623.25,5939.14
06/05/2022,12246.83,12358.42,11990.15,12144.66,5324.48
05/05/2022,12787.52,12787.52,12183.56,12317.69,5308.92
04/05/2022,12574.73,12985.01,12367.02,12964.86,5498.05
03/05/2022,12511.46,12645.83,12460.99,12563.76,4547.28
02/05/2022,12331.69,12542.54,12202.41,12536.02,4918.24
29/04/2022,12710.42,12861.83,12315.74,12334.64,4733.07
28/04/2022,12712.86,12948.52,12487.86,12871.53,5067.15
27/04/2022,12500.88,12703.79,12430.9,12488.93,4810.72
26/04/2022,12918.04,12918.04,12490.74,12490.74,5168.16
25/04/2022,12749.17,13011.45,12722.59,13004.85,4845.16
22/04/2022,13168.8,13212.6,12828.02,12839.29,4475.09
21/04/2022,13623.7,13710.7,13140.83,13174.65,5233.11
20/04/2022,13665.38,13678.55,13426.13,13453.07,4678.93
19/04/2022,13312.44,13643.97,13281.22,13619.66,4562.84
18/04/2022,13319.39,13414.27,13222.03,13332.36,4365.23
14/04/2022,13647.43,13662.93,13345.22,13351.08,4642.24
13/04/2022,13373.12,13679.43,13353.66,13643.59,4909.72
12/04/2022,13584.69,13685.95,13317.74,13371.57,4991.72
11/04/2022,13547.29,13585.08,13401.39,13411.96,4946.68
08/04/2022,13830.47,13866.06,13693.69,13711,4574.08
07/04/2022,13861.49,13978.25,13689.23,13897.3,4856.09
06/04/2022,14002.58,14032.84,13788.9,13888.82,5360.42
05/04/2022,14490.26,14500.29,14169.12,14204.17,4727.71
04/04/2022,14304.35,14534.38,14286.45,14532.55,4630.1
01/04/2022,14269.53,14306.94,14131.81,14261.5,5002.79
31/03/2022,14444.78,14456.74,14217.72,14220.52,5453.89
30/03/2022,14558.59,14609.25,14383.45,14442.27,5479.2
29/03/2022,14500.39,14646.9,14419.4,14619.64,6060.89
28/03/2022,14177.21,14356,14101.34,14354.9,5129.5
25/03/2022,14194.72,14218.76,14010.79,14169.3,5585.1
24/03/2022,14001.32,14193.55,13897.2,14191.84,5149.52
23/03/2022,13990.35,14152.14,13921.65,13922.6,5024.23
22/03/2022,13866.43,14141.07,13857.29,14108.82,5445.1
21/03/2022,13860.39,13945.81,13682.55,13838.46,5673.94
18/03/2022,13564.63,13899.28,13528.06,13893.84,8149.29
17/03/2022,13360.72,13620.8,13317.14,13614.78,5612.09
16/03/2022,13119.37,13440.12,12992.2,13436.55,6552.21
15/03/2022,12685.23,12973.88,12616.59,12948.62,5440.1
14/03/2022,12795.12,12918.01,12555.35,12581.22,5876.71
11/03/2022,13229.77,13239.35,12830.37,12843.81,5288.21
10/03/2022,13098.35,13163.5,12946.28,13129.96,5071.25
09/03/2022,13113.7,13301.16,13039.79,13255.55,5396.55
08/03/2022,12800.04,13159.44,12670.08,12795.55,6683.96
07/03/2022,13328.36,13353.28,12828.02,12830.96,6195.37
04/03/2022,13455.23,13486.71,13224.98,13313.44,5343.9
03/03/2022,13837.59,13837.59,13472.64,13537.94,5092.58
02/03/2022,13597.53,13796.55,13493.91,13752.02,5246.39
